Item,Paired Associate,Item ID,Cat
bok,balk,1,PH
bawque,balk,2,PH
bol,ball,3,PH
bain,bane,4,PH
beign,bane,5,PH
bahrn,barn,6,PH
basc,bask,7,PH
binje,binge,8,PH
binj,binge,9,PH
berd,bird,10,PH
burth,birth,11,PH
blak,black,12,PH
blaque,black,13,PH
blaim,blame,14,PH
bleighm,blame,15,PH
bleek,bleak,16,PH
bleeque,bleak,17,PH
blits,blitz,18,PH
blitts,blitz,19,PH
blote,bloat,20,PH
blud,blood,21,PH
blewm,bloom,22,PH
blume,bloom,23,PH
bord,board,24,PH
bote,boat,25,PH
bondz,bonds,26,PH
bauns,bonds,27,PH
baunz,bonds,28,PH
boan,bone,29,PH
boane,bone,30,PH
bor,bore,31,PH
boarn,born,32,PH
boath,both,33,PH
boathe,both,34,PH
bawt,bought,35,PH
bawte,bought,36,PH
boal,bowl,37,PH
boale,bowl,38,PH
bawx,box,39,PH
bawks,box,40,PH
brane,brain,41,PH
breign,brain,42,PH
braive,brave,43,PH
breth,breath,44,PH
brede,breed,45,PH
brybe,bribe,46,PH
brickz,bricks,47,PH
bryx,bricks,48,PH
bryde,bride,49,PH
bryed,bride,50,PH
breef,brief,51,PH
brefe,brief,52,PH
brephe,brief,53,PH
bryne,brine,54,PH
brighne,brine,55,PH
broun,brown,56,PH
broot,brute,57,PH
bern,burn,58,PH
kake,cake,59,PH
caik,cake,60,PH
kaique,cake,61,PH
kalled,called,62,PH
cauld,called,63,PH
kauld,called,64,PH
kamp,camp,65,PH
kape,cape,66,PH
caip,cape,67,PH
kaip,cape,68,PH
keighp,cape,69,PH
kelt,celt,70,PH
chaif,chafe,71,PH
chare,chair,72,PH
chace,chase,73,PH
cheet,cheat,74,PH
cheete,cheat,75,PH
chek,check,76,PH
cheeze,cheese,77,PH
cheaze,cheese,78,PH
chyde,chide,79,PH
chied,chide,80,PH
chighd,chide,81,PH
cheef,chief,82,PH
cheefe,chief,83,PH
cheaph,chief,84,PH
choyce,choice,85,PH
choak,choke,86,PH
choar,chore,87,PH
chirch,church,88,PH
cherch,church,89,PH
chern,churn,90,PH
klap,clap,91,PH
clawd,clawed,92,PH
cleen,clean,93,PH
clene,clean,94,PH
klene,clean,95,PH
cleer,clear,96,PH
clere,clear,97,PH
klere,clear,98,PH
clymb,climb,99,PH
clime,climb,100,PH
klymb,climb,101,PH
klyme,climb,102,PH
cleim,climb,103,PH
kleim,climb,104,PH
klout,clout,105,PH
clowt,clout,106,PH
klowt,clout,107,PH
klunk,clunk,108,PH
koast,coast,109,PH
koat,coat,110,PH
coate,coat,111,PH
kote,coat,112,PH
koate,coat,113,PH
kode,code,114,PH
coad,code,115,PH
koad,code,116,PH
coyn,coin,117,PH
coyne,coin,118,PH
koyne,coin,119,PH
kope,cope,120,PH
coap,cope,121,PH
koap,cope,122,PH
kost,cost,123,PH
cawst,cost,124,PH
kawst,cost,125,PH
cawced,cost,126,PH
kawced,cost,127,PH
coph,cough,128,PH
koph,cough,129,PH
kawf,cough,130,PH
coart,court,131,PH
kourt,court,132,PH
cort,court,133,PH
kort,court,134,PH
krash,crash,135,PH
creem,cream,136,PH
kreem,cream,137,PH
krick,crick,138,PH
crik,crick,139,PH
kroak,croak,140,PH
croke,croak,141,PH
kroke,croak,142,PH
krux,crux,143,PH
crucks,crux,144,PH
krucks,crux,145,PH
kute,cute,146,PH
cuit,cute,147,PH
kuit,cute,148,PH
darck,dark,149,PH
dait,date,150,PH
deel,deal,151,PH
deele,deal,152,PH
derth,dearth,153,PH
dence,dense,154,PH
dyce,dice,155,PH
durt,dirt,156,PH
dyve,dive,157,PH
daul,doll,158,PH
dewm,doom,159,PH
dowt,doubt,160,PH
dreem,dream,161,PH
dreame,dream,162,PH
dreeme,dream,163,PH
drinc,drink,164,PH
dum,dumb,165,PH
fakt,fact,166,PH
faul,fall,167,PH
phall,fall,168,PH
phaul,fall,169,PH
falce,false ,170,PH
phalse,false ,171,PH
phalce,false ,172,PH
fait,fate,173,PH
phait,fate,174,PH
fawlt,fault,175,PH
phault,fault,176,PH
phawlt,fault,177,PH
feer,fear,178,PH
feere,fear,179,PH
phear,fear,180,PH
pheere,fear,181,PH
fead,feed,182,PH
pheed,feed,183,PH
phead,feed,184,PH
feal,feel,185,PH
pheel,feel,186,PH
pheal,feel,187,PH
phelt,felt,188,PH
feand,fiend,189,PH
feend,fiend,190,PH
pheand,fiend,191,PH
pheend,fiend,192,PH
feende,fiend,193,PH
philm,film,194,PH
fynch,finch,195,PH
phynch,finch,196,PH
finc,fink,197,PH
finck,fink,198,PH
phinc,fink,199,PH
phinck,fink,200,PH
ferm,firm,201,PH
phirm,firm,202,PH
pherm,firm,203,PH
furst,first,204,PH
phirst,first,205,PH
phurst,first,206,PH
flaim,flame,207,PH
phlame,flame,208,PH
