orth,phon,type,Sim 1,,Sim 2 (raw),Sim 2 (sqrt),Sim 3 (RT)
ace,/As/,#,0.064666,0.036073,0.083824,2.01,
ache,/Ak/,#,0.681629,1.178852,0.784975,2.43,
act,/@kt/,#,0.012666,0.002940,0.003751,1.64,
add,/@d/,#,0.005738,0.001170,0.000733,1.57,
ade,/Ad/,#,0.002973,0.001890,0.009874,1.83,
aft,/@ft/,#,0.003603,0.013981,0.000673,1.55,
age,/Aj/,#,0.013169,0.002628,0.007866,1.75,
aid,/Ad/,#,0.003719,0.001117,0.003743,1.59,
aide,/Ad/,#,0.005818,0.057632,0.006640,1.75,
ail,/Al/,#,0.002190,0.001788,0.001631,1.56,
aim,/Am/,#,0.000865,0.000132,0.001513,1.44,
air,/Ar/,#,0.003428,0.001811,0.000837,1.56,
aisle,/Il/,LSTR,0.100257,0.082183,0.035438,1.78,
ale,/Al/,#,0.005256,0.027593,0.005147,1.77,
all,/ol/,#,0.003835,0.000284,0.000971,1.66,
alps,/@lps/,#,0.086094,0.280699,0.047561,1.97,
and,/@nd/,#,0.001663,0.000043,0.000471,1.59,
angst,/@Nst/,#,0.067250,0.171929,0.048283,1.98,
ant,/@nt/,#,0.010882,0.000573,0.000894,1.62,
ape,/Ap/,#,0.006554,0.013390,0.006074,1.74,
apt,/@pt/,#,0.001603,0.011226,0.000369,1.59,
arc,/ark/,#,0.041368,0.025823,0.051182,1.77,
arch,/arC/,#,0.022068,0.018359,0.059664,1.95,
are,/ar/,HFE,0.232403,0.001578,0.026318,1.75,
arm,/arm/,#,0.005240,0.000656,0.006049,1.51,
art,/art/,#,0.010820,0.000726,0.001807,1.55,
ash,/@S/,#,0.010528,0.002748,0.006059,1.55,
ask,/@sk/,#,0.015142,0.004856,0.007472,1.63,
ass,/@s/,#,0.008153,0.002226,0.001449,1.54,
ate,/At/,#,0.000970,0.000339,0.001800,1.69,
aunt,/@nt/,#,0.315186,0.191916,0.284017,3.47,
awn,/on/,#,0.003277,0.000832,0.000718,1.57,
axe,/@ks/,STR,0.102877,0.116109,0.066831,1.85,
babe,/bAb/,#,0.011143,0.008845,0.005116,1.79,
back,/b@k/,#,0.003286,0.000360,0.000741,1.53,
bad,/b@d/,#,0.025813,0.009279,0.030448,1.64,
bade,/bAd/,#,0.003967,0.002230,0.000914,1.68,
badge,/b@j/,#,0.069730,0.068296,0.050855,1.91,
bag,/b@g/,HFRIC,0.027181,0.009376,0.029475,1.81,
bail,/bAl/,#,0.005698,0.000214,0.001600,1.5,
bait,/bAt/,#,0.003913,0.000399,0.001193,1.48,
bake,/bAk/,#,0.007551,0.000299,0.014591,1.62,
bakes,/bAks/,REG,0.100064,0.106727,0.051608,1.91,
bald,/bold/,#,0.049312,0.221947,0.036837,1.74,
bale,/bAl/,#,0.004248,0.076341,0.002721,1.67,
balk,/bok/,#,0.125434,0.464857,0.208797,1.85,
ball,/bol/,#,0.004245,0.003719,0.001275,1.67,
ban,/b@n/,#,0.006971,0.000367,0.000956,1.66,
band,/b@nd/,#,0.003939,0.000108,0.002756,1.58,
bane,/bAn/,#,0.105071,0.148785,0.003277,1.65,
bang,/b@N/,#,0.044623,0.001719,0.002527,1.82,
bank,/b@Nk/,#,0.002560,0.003647,0.000720,1.5,
bar,/bar/,#,0.005256,0.003795,0.001189,1.59,
bard,/bard/,#,0.061671,0.000165,0.000630,1.54,
bare,/bAr/,#,0.134487,0.035412,0.065725,1.78,
barge,/barj/,REG,0.042727,0.057016,0.047926,1.92,
bark,/bark/,#,0.002129,0.009430,0.000952,1.61,
barn,/barn/,#,0.015949,0.008436,0.000778,1.6,
barre,/bar/,#,0.042911,0.045959,0.030546,1.75,
bas,/ba/,#,0.847514,16.575449,0.900863,2.59,
base,/bAs/,HRI,0.051315,0.003358,0.030683,1.74,
bash,/b@S/,#,0.113863,0.171066,0.104147,1.75,
bask,/b@sk/,#,0.065343,0.033053,0.112838,1.75,
*bass,/bAs/,homg,1.625402,1.357608,1.392974,2.88,
bass,/b@s/,homg,1.186503,1.425870,1.386757,2.88,
baste,/bAst/,#,0.035561,0.006704,0.006526,1.74,
bat,/b@t/,#,0.063608,0.041806,0.021728,1.85,
